1_Group_gene     2_Uni_entry  3_Gene    4_HMM_evalue  5_HMM_score  6_Closest_group_by_HMM
CK1_VRK1         VRK1_HUMAN   VRK1      1.8e-109      360.1        CK1
CK1_TTBK1        TTBK1_HUMAN  TTBK1     9.9e-109      357.6        CK1
CK1_TTBK2        TTBK2_HUMAN  TTBK2     2e-107        353.3        CK1
CK1_VRK2         VRK2_HUMAN   VRK2      4.3e-107      352.3        CK1
CK1_VRK3         VRK3_HUMAN   VRK3      1e-99         328.1        CK1
CMGC_SRPK2       SRPK2_HUMAN  SRPK2     3.7e-147      484.2        CMGC
CMGC_SRPK1       SRPK1_HUMAN  SRPK1     4.2e-142      467.6        CMGC
CMGC_SRPK3       SRPK3_HUMAN  SRPK3     1e-140        463.0        CMGC
CMGC_DYRK2       DYRK2_HUMAN  DYRK2     1.6e-102      337.6        CMGC
CMGC_DYRK3       DYRK3_HUMAN  DYRK3     7.9e-102      335.3        CMGC
CMGC_DYRK4       DYRK4_HUMAN  DYRK4     2.3e-101      333.8        CMGC
CMGC_CLK1        CLK1_HUMAN   CLK1      6e-97         319.3        CMGC
CMGC_CLK4        CLK4_HUMAN   CLK4      2.7e-96       317.2        CMGC
CMGC_CLK2        CLK2_HUMAN   CLK2      4.2e-96       316.6        CMGC
CMGC_HIPK2       HIPK2_HUMAN  HIPK2     5.1e-96       316.3        CMGC
CMGC_HIPK1       HIPK1_HUMAN  HIPK1     6e-96         316.0        CMGC
CMGC_HIPK4       HIPK4_HUMAN  HIPK4     1.7e-95       314.5        CMGC
CMGC_HIPK3       HIPK3_HUMAN  HIPK3     3.1e-95       313.7        CMGC
CMGC_DYRK1A      DYR1A_HUMAN  DYRK1A    2.1e-94       311.0        CMGC
CMGC_CLK3        CLK3_HUMAN   CLK3      2.6e-94       310.6        CMGC
CMGC_CDK2        CDK2_HUMAN   CDK2      1.3e-93       308.4        CMGC
CMGC_CDK3        CDK3_HUMAN   CDK3      8.1e-93       305.8        CMGC
CMGC_DYRK1B      DYR1B_HUMAN  DYRK1B    9.4e-93       305.5        CMGC
CMGC_MAPK3       MK03_HUMAN   MAPK3     3.1e-91       300.6        CMGC
CMGC_CDK1        CDK1_HUMAN   CDK1      4.7e-91       300.0        CMGC
CMGC_ICK         ICK_HUMAN    ICK       4.3e-90       296.8        CMGC
CMGC_CDK17       CDK17_HUMAN  CDK17     7.1e-90       296.1        CMGC
CMGC_MAPK1       MK01_HUMAN   MAPK1     1e-89         295.6        CMGC
CMGC_MAPK10      MK10_HUMAN   MAPK10    2.6e-89       294.2        CMGC
CMGC_CDK13       CDK13_HUMAN  CDK13     4.4e-89       293.5        CMGC
CMGC_MAPK14      MK14_HUMAN   MAPK14    5.5e-89       293.2        CMGC
CMGC_MAPK12      MK12_HUMAN   MAPK12    7.5e-89       292.7        CMGC
CMGC_CDKL5       CDKL5_HUMAN  CDKL5     8.5e-89       292.6        CMGC
CMGC_MAPK9       MK09_HUMAN   MAPK9     1.8e-88       291.5        CMGC
CMGC_CDK6        CDK6_HUMAN   CDK6      3e-88         290.7        CMGC
CMGC_CDK12       CDK12_HUMAN  CDK12     5.5e-88       289.9        CMGC
CMGC_MAK         MAK_HUMAN    MAK       7.9e-88       289.4        CMGC
CMGC_MAPK8       MK08_HUMAN   MAPK8     8.1e-88       289.4        CMGC
CMGC_CDK5        CDK5_HUMAN   CDK5      8.3e-88       289.3        CMGC
CMGC_CDK16       CDK16_HUMAN  CDK16     2.2e-87       288.0        CMGC
CMGC_MAPK13      MK13_HUMAN   MAPK13    4.7e-87       286.8        CMGC
CMGC_MAPK11      MK11_HUMAN   MAPK11    1.1e-86       285.6        CMGC
CMGC_CDK4        CDK4_HUMAN   CDK4      1.5e-86       285.2        CMGC
CMGC_CDK19       CDK19_HUMAN  CDK19     2.7e-86       284.3        CMGC
CMGC_PRPF4B      PRP4B_HUMAN  PRPF4B    8.7e-86       282.7        CMGC
CMGC_MAPK7       MK07_HUMAN   MAPK7     9.4e-86       282.6        CMGC
CMGC_CDK8        CDK8_HUMAN   CDK8      9.9e-86       282.5        CMGC
CMGC_CDK18       CDK18_HUMAN  CDK18     4.5e-85       280.3        CMGC
CMGC_CDKL1       CDKL1_HUMAN  CDKL1     7.7e-85       279.6        CMGC
CMGC_CDKL4       CDKL4_HUMAN  CDKL4     2.7e-84       277.8        CMGC
CMGC_CDKL2       CDKL2_HUMAN  CDKL2     5.7e-84       276.7        CMGC
CMGC_CDK9        CDK9_HUMAN   CDK9      9.5e-84       276.0        CMGC
CMGC_CDK14       CDK14_HUMAN  CDK14     1.1e-83       275.8        CMGC
CMGC_CDK11A      CD11A_HUMAN  CDK11A    2.7e-83       274.5        CMGC
CMGC_CDK11B      CD11B_HUMAN  CDK11B    2.8e-83       274.4        CMGC
CMGC_CDKL3       CDKL3_HUMAN  CDKL3     2.9e-83       274.4        CMGC
CMGC_CDK7        CDK7_HUMAN   CDK7      1e-82         272.6        CMGC
CMGC_MAPK15      MK15_HUMAN   MAPK15    2.1e-82       271.6        CMGC
CMGC_NLK         NLK_HUMAN    NLK       9e-82         269.5        CMGC
CMGC_CDK10       CDK10_HUMAN  CDK10     4e-81         267.4        CMGC
CMGC_CDK20       CDK20_HUMAN  CDK20     6.4e-81       266.7        CMGC
CMGC_CDK15       CDK15_HUMAN  CDK15     2e-79         261.8        CMGC
CMGC_MAPK6       MK06_HUMAN   MAPK6     5.4e-78       257.1        CMGC
CMGC_MOK         MOK_HUMAN    MOK       6.6e-78       256.8        CMGC
CMGC_MAPK4       MK04_HUMAN   MAPK4     5.7e-77       253.7        CMGC
CMGC_GSK3A       GSK3A_HUMAN  GSK3A     8e-75         246.7        CMGC
CMGC_GSK3B       GSK3B_HUMAN  GSK3B     2e-74         245.3        CMGC
CMGC_CSNK2A2     CSK22_HUMAN  CSNK2A2   1e-73         243.0        CMGC
CMGC_CSNK2A1     CSK21_HUMAN  CSNK2A1   1.7e-73       242.3        CMGC
CMGC_CSNK2A3     CSK23_HUMAN  CSNK2A3   1.7e-71       235.7        CMGC
OTHER_UHMK1      UHMK1_HUMAN  UHMK1     5.2e-34       112.7        CMGC
OTHER_HASPIN     HASP_HUMAN   GSG2      1.2e-07       26.1         CMGC
OTHER_PEAK3      PEAK3_HUMAN  PEAK3     0.0047        11.0         CMGC
NEK_NEK1         NEK1_HUMAN   NEK1      6.5e-122      400.9        NEK
NEK_NEK5         NEK5_HUMAN   NEK5      1.8e-118      389.6        NEK
NEK_NEK4         NEK4_HUMAN   NEK4      2.9e-117      385.7        NEK
NEK_NEK3         NEK3_HUMAN   NEK3      2.4e-116      382.6        NEK
NEK_NEK6         NEK6_HUMAN   NEK6      1.3e-114      377.0        NEK
NEK_NEK7         NEK7_HUMAN   NEK7      1.1e-113      373.9        NEK
NEK_NEK2         NEK2_HUMAN   NEK2      2.8e-113      372.6        NEK
NEK_NEK11        NEK11_HUMAN  NEK11     7e-110        361.4        NEK
NEK_NEK8         NEK8_HUMAN   NEK8      1.5e-109      360.3        NEK
NEK_NEK9         NEK9_HUMAN   NEK9      8e-109        358.0        NEK
NEK_NEK10        NEK10_HUMAN  NEK10     1.7e-103      340.5        NEK
OTHER_EIF2AK2    E2AK2_HUMAN  EIF2AK2   6.7e-50       164.9        NEK
OTHER_EIF2AK3    E2AK3_HUMAN  EIF2AK3   4.5e-48       158.9        NEK
OTHER_EIF2AK4_2  E2AK4_HUMAN  EIF2AK4   7.1e-48       158.2        NEK
OTHER_EIF2AK1    E2AK1_HUMAN  EIF2AK1   1.3e-43       144.3        NEK
OTHER_BMP2K      BMP2K_HUMAN  BMP2K     9.2e-43       141.5        NEK
OTHER_STK16      STK16_HUMAN  STK16     1.5e-41       137.5        NEK
OTHER_WEE2       WEE2_HUMAN   WEE2      2.1e-40       133.7        NEK
OTHER_WEE1       WEE1_HUMAN   WEE1      1.1e-35       118.3        NEK
OTHER_PAN3       PAN3_HUMAN   PAN3      3.1e-11       38.2         NEK
RGC_NPR2         ANPRB_HUMAN  NPR2      1.1e-127      420.1        RGC
RGC_NPR1         ANPRA_HUMAN  NPR1      4.2e-126      415.0        RGC
RGC_GUCY2D       GUC2D_HUMAN  GUCY2D    3.8e-123      405.3        RGC
RGC_GUCY2F       GUC2F_HUMAN  GUCY2F    4.3e-122      401.8        RGC
RGC_GUCY2C       GUC2C_HUMAN  GUCY2C    6.9e-111      365.1        RGC
STE_TNIK         TNIK_HUMAN   TNIK      8.4e-109      357.7        STE
STE_MINK1        MINK1_HUMAN  MINK1     2e-106        349.9        STE
STE_MAP4K4       M4K4_HUMAN   MAP4K4    3.6e-106      349.1        STE
STE_STK4         STK4_HUMAN   STK4      1.1e-105      347.6        STE
STE_STK25        STK25_HUMAN  STK25     4.7e-105      345.4        STE
STE_STK3         STK3_HUMAN   STK3      6.9e-105      344.9        STE
STE_STK26        STK26_HUMAN  STK26     3.8e-104      342.5        STE
STE_STK24        STK24_HUMAN  STK24     3.9e-104      342.4        STE
STE_MAP4K3       M4K3_HUMAN   MAP4K3    1.8e-103      340.3        STE
STE_MAP2K1       MP2K1_HUMAN  MAP2K1    3.8e-101      332.6        STE
STE_MAP2K2       MP2K2_HUMAN  MAP2K2    3.9e-101      332.6        STE
STE_NRK          NRK_HUMAN    NRK       1.2e-100      331.0        STE
STE_MAP4K5       M4K5_HUMAN   MAP4K5    2e-100        330.3        STE
STE_SLK          SLK_HUMAN    SLK       2.7e-100      329.9        STE
STE_MYO3A        MYO3A_HUMAN  MYO3A     3e-99         326.4        STE
STE_PAK1         PAK1_HUMAN   PAK1      4.6e-99       325.8        STE
STE_PAK3         PAK3_HUMAN   PAK3      2.5e-98       323.4        STE
STE_MAP4K2       M4K2_HUMAN   MAP4K2    3e-98         323.1        STE
STE_MYO3B        MYO3B_HUMAN  MYO3B     4.4e-98       322.6        STE
STE_STK10        STK10_HUMAN  STK10     6.4e-98       322.1        STE
STE_OXSR1        OXSR1_HUMAN  OXSR1     1.4e-97       321.0        STE
STE_PAK2         PAK2_HUMAN   PAK2      6.6e-97       318.8        STE
STE_MAP4K1       M4K1_HUMAN   MAP4K1    4.2e-96       316.1        STE
STE_PAK6         PAK6_HUMAN   PAK6      5.9e-95       312.4        STE
STE_TAOK1        TAOK1_HUMAN  TAOK1     2.1e-94       310.5        STE
STE_STK39        STK39_HUMAN  STK39     2.5e-94       310.3        STE
STE_TAOK3        TAOK3_HUMAN  TAOK3     1.7e-93       307.6        STE
STE_TAOK2        TAOK2_HUMAN  TAOK2     2.9e-93       306.8        STE
STE_PAK5         PAK5_HUMAN   PAK5      1.4e-92       304.6        STE
STE_PAK4         PAK4_HUMAN   PAK4      4e-92         303.1        STE
STE_STRADA       STRAA_HUMAN  STRADA    9.1e-91       298.6        STE
STE_MAP2K4       MP2K4_HUMAN  MAP2K4    1.2e-89       295.0        STE
STE_MAP2K6       MP2K6_HUMAN  MAP2K6    5.4e-89       292.8        STE
STE_MAP3K19      M3K19_HUMAN  MAP3K19   2e-88         291.0        STE
STE_MAP2K3       MP2K3_HUMAN  MAP2K3    2.6e-88       290.6        STE
STE_STRADB       STRAB_HUMAN  STRADB    2.2e-87       287.5        STE
STE_MAP2K5       MP2K5_HUMAN  MAP2K5    3.6e-87       286.8        STE
